album,popularity,artist,name,duration_ms,explicit,release_date,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo
Richer Than I Ever Been,66,Rick Ross,Little Havana (feat. Willie Falcon & The-Dream),226072,True,2021-12-10,0.589,0.654,-4.633,0.299,0.297,0.0,0.199,0.49,86.284
Richer Than I Ever Been,66,Rick Ross,The Pulitzer,138914,True,2021-12-10,0.703,0.637,-7.398,0.131,0.0135,4.41e-06,0.134,0.323,80.098
Richer Than I Ever Been,66,Rick Ross,Rapper Estates (feat. Benny The Butcher),203207,True,2021-12-10,0.532,0.874,-4.232,0.328,0.175,0.0,0.0867,0.358,87.227
Richer Than I Ever Been,64,Rick Ross,Marathon,222155,True,2021-12-10,0.456,0.576,-9.961,0.0738,0.313,0.0,0.299,0.0849,150.141
Richer Than I Ever Been,65,Rick Ross,Warm Words in a Cold World (feat. Wale & Future),220521,True,2021-12-10,0.761,0.748,-6.836,0.333,0.198,0.0,0.284,0.795,92.049
Richer Than I Ever Been,63,Rick Ross,Wiggle (feat. DreamDoll),161525,True,2021-12-10,0.838,0.788,-6.467,0.127,0.035,0.0,0.294,0.707,89.012
Richer Than I Ever Been,63,Rick Ross,Can't Be Broke (feat. Yungeen Ace & Major Nine),253452,True,2021-12-10,0.801,0.55,-9.183,0.289,0.31,0.0,0.0677,0.539,106.983
Richer Than I Ever Been,63,Rick Ross,Made it Out Alive (feat. Blxst),218432,True,2021-12-10,0.522,0.639,-6.871,0.175,0.0711,0.0,0.126,0.712,84.509
Richer Than I Ever Been,64,Rick Ross,Outlawz (feat. Jazmine Sullivan & 21 Savage),289826,True,2021-12-10,0.381,0.75,-4.052,0.309,0.0683,0.0,0.349,0.56,149.623
Richer Than I Ever Been,62,Rick Ross,Imperial High,202164,True,2021-12-10,0.581,0.734,-5.094,0.0752,0.154,0.0,0.134,0.252,79.09
Richer Than I Ever Been,68,Rick Ross,Richer Than I Ever Been,172570,True,2021-12-10,0.669,0.844,-2.166,0.251,0.0194,0.0,0.743,0.412,75.975
Richer Than I Ever Been,62,Rick Ross,Hella Smoke (feat. Wiz Khalifa),219769,True,2021-12-10,0.586,0.703,-4.541,0.431,0.189,0.0,0.818,0.597,81.422
KEYS,63,Alicia Keys,Plentiful (Originals) (feat. Pusha T),188573,False,2021-12-10,0.664,0.765,-6.145,0.134,0.243,0.000699,0.11,0.149,82.171
KEYS,60,Alicia Keys,Skydive (Originals),184320,False,2021-12-10,0.464,0.633,-6.816,0.231,0.89,0.000368,0.345,0.574,151.628
KEYS,60,Alicia Keys,Best Of Me (Originals),239306,False,2021-12-10,0.742,0.872,-6.439,0.0656,0.123,0.00314,0.102,0.814,79.979
KEYS,59,Alicia Keys,Dead End Road (Originals),212093,False,2021-12-10,0.601,0.397,-5.861,0.032,0.95,0.0,0.232,0.133,114.697
KEYS,58,Alicia Keys,Is It Insane (Originals),381053,False,2021-12-10,0.415,0.25,-11.81,0.0305,0.884,2.59e-05,0.124,0.114,91.984
KEYS,58,Alicia Keys,Billions (Originals),199573,True,2021-12-10,0.381,0.565,-6.15,0.0301,0.255,8.62e-06,0.124,0.0552,100.378
KEYS,57,Alicia Keys,Love When You Call My Name (Originals),217253,False,2021-12-10,0.553,0.431,-7.588,0.0298,0.902,0.0116,0.113,0.191,104.889
KEYS,57,Alicia Keys,Only You (Originals),195746,False,2021-12-10,0.294,0.283,-10.538,0.0303,0.963,0.167,0.174,0.199,129.614
KEYS,56,Alicia Keys,Daffodils (Originals),273186,False,2021-12-10,0.274,0.283,-6.642,0.0289,0.978,1.52e-05,0.115,0.161,171.043
KEYS,66,Alicia Keys,Old Memories (Originals),179373,False,2021-12-10,0.455,0.37,-8.485,0.0445,0.808,3.3e-06,0.386,0.178,179.815
KEYS,56,Alicia Keys,Nat King Cole (Originals),219946,False,2021-12-10,0.488,0.577,-7.349,0.0494,0.81,0.00322,0.132,0.228,126.16
KEYS,56,Alicia Keys,Paper Flowers (Originals) (feat. Brandi Carlile),204253,False,2021-12-10,0.301,0.376,-7.639,0.0376,0.918,0.00011,0.238,0.101,72.024
KEYS,55,Alicia Keys,Like Water (Originals),237293,False,2021-12-10,0.391,0.351,-7.294,0.0365,0.971,0.000545,0.12,0.393,78.919
KEYS,55,Alicia Keys,KEYS,85826,False,2021-12-10,0.2,0.165,-20.825,0.0392,0.99,0.894,0.111,0.085,74.601
KEYS,55,Alicia Keys,Only You (Unlocked),191573,False,2021-12-10,0.731,0.622,-6.667,0.0329,0.509,0.000608,0.128,0.248,101.008
KEYS,54,Alicia Keys,Skydive (Unlocked),183160,False,2021-12-10,0.787,0.715,-5.283,0.135,0.154,0.000474,0.164,0.841,92.956
KEYS,54,Alicia Keys,Best Of Me (Unlocked),223866,False,2021-12-10,0.675,0.723,-6.389,0.124,0.259,0.0103,0.12,0.627,79.957
KEYS,55,Alicia Keys,LALA (Unlocked) (feat. Swae Lee),271226,False,2021-12-10,0.577,0.563,-5.188,0.275,0.0837,0.000291,0.119,0.358,139.457
KEYS,55,Alicia Keys,Nat King Cole (Unlocked) (feat. Lil Wayne),245626,False,2021-12-10,0.561,0.736,-4.538,0.0532,0.0659,0.0,0.306,0.36,126.11
KEYS,54,Alicia Keys,Is It Insane (Unlocked),267840,False,2021-12-10,0.625,0.301,-6.877,0.0288,0.579,0.00745,0.15,0.194,84.734
KEYS,65,Alicia Keys,Come For Me (Unlocked) (feat. Khalid & Lucky Daye),209853,False,2021-12-10,0.668,0.511,-7.221,0.229,0.365,8.23e-06,0.0944,0.45,140.977
KEYS,53,Alicia Keys,Old Memories (Unlocked),232693,False,2021-12-10,0.499,0.775,-4.354,0.0745,0.0277,1.08e-05,0.113,0.251,121.68
KEYS,52,Alicia Keys,Dead End Road (Unlocked),212426,False,2021-12-10,0.698,0.475,-8.509,0.0753,0.313,0.00264,0.0899,0.144,126.762
KEYS,52,Alicia Keys,Love When You Call My Name (Unlocked),195706,False,2021-12-10,0.728,0.554,-3.988,0.0241,0.0713,0.275,0.149,0.194,107.029
KEYS,52,Alicia Keys,Daffodils (Unlocked),184880,False,2021-12-10,0.601,0.867,-5.112,0.0616,0.415,1.32e-05,0.237,0.384,115.333
KEYS,52,Alicia Keys,Billions (Unlocked),180933,True,2021-12-10,0.617,0.613,-8.792,0.101,0.646,0.291,0.168,0.311,130.005
For Those Who Can't Be Here,67,Tom Walker,For Those Who Can't Be Here,183079,False,2021-12-06,0.621,0.543,-2.976,0.0268,0.705,0.0,0.147,0.231,125.941
Headliner,49,NSG,Only God Can Judge Me,213266,True,2021-12-09,0.627,0.674,-5.923,0.303,0.052,0.0,0.0746,0.427,65.86
Headliner,51,NSG,Suzanna (feat. Patoranking),215412,True,2021-12-09,0.936,0.516,-7.381,0.0817,0.441,0.0141,0.105,0.559,102.984
